"","respondent","education","Select.your.age.range","Gender","NLRA_Member","NH_Resident_Yes2","createtime","id","buttonname","visibleLayers","zoomLevel","shape","longitude","latitude","recreation","ecosystem","economic","viewshed","historic","culture"
"73",306,"Bachelors","65 - 84 years","Female","Yes","Yes","2016-03-16T15:52:44.412Z",393,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.793457,43.673434,1,1,1,1,1,1
"74",316,NA,NA,NA,NA,NA,"2016-03-16T17:54:52.731Z",395,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.779175,43.660048,NA,NA,NA,NA,NA,NA
"75",318,"Bachelors","45 - 64  years","Female","Yes","No","2016-03-16T19:46:50.622Z",401,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.779261,43.659924,NA,NA,NA,NA,NA,NA
"76",318,"Bachelors","45 - 64  years","Female","Yes","No","2016-03-16T19:48:12.385Z",403,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",11,"POINT",-71.747589,43.631602,NA,NA,NA,3,NA,3
"77",319,"Associates","45 - 64  years","Male","Yes","No","2016-03-16T19:47:16.471Z",402,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.799088,43.644523,2,3,2,3,1,1
"78",319,"Associates","45 - 64  years","Male","Yes","No","2016-03-16T19:53:37.407Z",419,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.799431,43.544567,3,3,3,3,2,2
"79",319,"Associates","45 - 64  years","Male","Yes","No","2016-03-16T19:49:40.823Z",407,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.811104,43.606251,2,3,2,3,2,2
"80",319,"Associates","45 - 64  years","Male","Yes","No","2016-03-16T19:48:41.319Z",405,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.898308,43.643032,3,3,2,3,1,1
"81",319,"Associates","45 - 64  years","Male","Yes","No","2016-03-16T19:49:11.159Z",406,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.797714,43.699899,1,3,1,3,1,1
"82",319,"Associates","45 - 64  years","Male","Yes","No","2016-03-16T19:55:02.176Z",422,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.94706,43.627378,3,3,3,3,3,2
"83",319,"Associates","45 - 64  years","Male","Yes","No","2016-03-16T19:54:03.471Z",420,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.822777,43.545811,2,3,3,3,2,2
"84",319,"Associates","45 - 64  years","Male","Yes","No","2016-03-16T20:00:39.063Z",434,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.764755,43.562233,2,3,3,3,2,2
"85",319,"Associates","45 - 64  years","Male","Yes","No","2016-03-16T19:54:32.767Z",421,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.723557,43.71082,2,3,3,3,2,2
"86",319,"Associates","45 - 64  years","Male","Yes","No","2016-03-16T19:56:13.775Z",425,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.720467,43.575168,3,3,3,3,2,3
"87",319,"Associates","45 - 64  years","Male","Yes","No","2016-03-16T20:00:02.647Z",432,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.740036,43.564223,2,3,3,3,2,2
